,id,premium,name,department,has_test,response_letter_required,salary,salary_range,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,show_contacts,insider_interview,url,alternate_url,relations,contacts,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,internship,adv_response_url,is_adv_vacancy,adv_context,area.id,area.name,area.url,type.id,type.name,address.city,address.street,address.building,address.lat,address.lng,address.description,address.raw,address.metro.station_name,address.metro.line_name,address.metro.station_id,address.metro.line_id,address.metro.lat,address.metro.lng,address.metro_stations,address.id,employer.id,employer.name,employer.url,employer.alternate_url,employer.logo_urls.original,employer.logo_urls.90,employer.logo_urls.240,employer.vacancies_url,employer.accredited_it_employer,employer.trusted,snippet.requirement,snippet.responsibility,schedule.id,schedule.name,experience.id,experience.name,employment.id,employment.name,employment_form.id,employment_form.name,salary.from,salary.to,salary.currency,salary.gross,salary_range.from,salary_range.to,salary_range.currency,salary_range.gross,salary_range.mode.id,salary_range.mode.name,salary_range.frequency,address.metro,salary_range.frequency.id,salary_range.frequency.name,address,branding.type,branding.tariff,department.id,department.name,employer.logo_urls,insider_interview.id,insider_interview.url,query,brand_snippet.logo,brand_snippet.logo_xs,brand_snippet.logo_scalable.default.width,brand_snippet.logo_scalable.default.height,brand_snippet.logo_scalable.default.url,brand_snippet.logo_scalable.xs.width,brand_snippet.logo_scalable.xs.height,brand_snippet.logo_scalable.xs.url,brand_snippet.picture,brand_snippet.picture_xs,brand_snippet.picture_scalable.default,brand_snippet.picture_scalable.xs,brand_snippet.background.color,brand_snippet.background.gradient,brand_snippet.picture_scalable.default.width,brand_snippet.picture_scalable.default.height,brand_snippet.picture_scalable.default.url,brand_snippet.picture_scalable.xs.width,brand_snippet.picture_scalable.xs.height,brand_snippet.picture_scalable.xs.url,brand_snippet.background.gradient.angle,brand_snippet.background.gradient.color_list
0,123161129,False,Исполнительный директор (CEO),,False,False,,,,,2025-07-23T17:11:52+0300,2025-07-23T17:11:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123161129,,True,,https://api.hh.ru/vacancies/123161129?host=hh.ru,https://hh.ru/vacancy/123161129,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,Варшавское шоссе,46,55.67292,37.625181,,"Москва, Варшавское шоссе, 46",Нагатинская,Серпуховско-Тимирязевская,9.85,9,55.682099,37.620917,"[{'station_name': 'Нагатинская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.85', 'line_id': '9', 'lat': 55.682099, 'lng': 37.620917}]",2607618,542655,НИИТФА,https://api.hh.ru/employers/542655,https://hh.ru/employer/542655,https://img.hhcdn.ru/employer-logo-original/785400.png,https://img.hhcdn.ru/employer-logo/3582491.png,https://img.hhcdn.ru/employer-logo/3582492.png,https://api.hh.ru/vacancies?employer_id=542655,False,True,"Высшее образование. Опыт руководства производственными предприятиями, глубокое понимание производственных процессов. Опыт построения системы управления операционной деятельностью компании. Опыт разработки, внедрение...","Осуществлять общее руководство деятельности подчиненных подразделений, контролировать выполнение возложенных на структурные подразделения задачи и функции. Осуществлять руководство кадровой политикой, определять...",fullDay,Полный день,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
1,123214640,False,Фронтенд разработчик / Frontend Developer,,False,True,,,,,2025-07-24T17:38:41+0300,2025-07-24T17:38:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123214640,,False,,https://api.hh.ru/vacancies/123214640?host=hh.ru,https://hh.ru/vacancy/123214640,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Долгопрудный,Первомайская улица,3,55.928522,37.521731,,"Долгопрудный, Первомайская улица, 3",,,,,,,[],16843810,1008541,МФТИ,https://api.hh.ru/employers/1008541,https://hh.ru/employer/1008541,https://img.hhcdn.ru/employer-logo-original/1435391.png,https://img.hhcdn.ru/employer-logo/7361205.png,https://img.hhcdn.ru/employer-logo/7361206.png,https://api.hh.ru/vacancies?employer_id=1008541,False,True,"Высшее образование в области ИТ, математики, <highlighttext>физики</highlighttext> или смежных дисциплин. Умение самостоятельно выполнять хорошо сформулированные задачи и выявлять участки приложения...",Разрабатывать новый функционал. Участвовать в рефакторинге существующей кодовой базы. Разрабатывать юнит-тесты. Участвовать в code review. Участвовать во внутренних Scrum...,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,150000.0,,RUR,True,150000.0,,RUR,True,MONTH,За месяц,,,,,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
2,123260334,False,Педагог-психолог,,False,False,,,,,2025-07-25T14:57:43+0300,2025-07-25T14:57:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123260334,,False,,https://api.hh.ru/vacancies/123260334?host=hh.ru,https://hh.ru/vacancy/123260334,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '101', 'name': 'Психолог'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,улица Острякова,15А,55.79853,37.523294,,"Москва, улица Острякова, 15А",,,,,,,[],5174301,1758170,Московский авиационный институт (национальный исследовательский университет),https://api.hh.ru/employers/1758170,https://hh.ru/employer/1758170,https://img.hhcdn.ru/employer-logo-original/293660.gif,https://img.hhcdn.ru/employer-logo/1617030.png,https://img.hhcdn.ru/employer-logo/1617031.png,https://api.hh.ru/vacancies?employer_id=1758170,False,True,"Высшее образование по направлению деятельности (психолог, педагог-психолог). Опыт работы: в образовательном учреждении от 1 года (желательно), опыт работы с...",Индивидуальное консультирование обучающихся. Индивидуальное консультирование других участников образовательного процесса (при необходимости). Психологическое сопровождение образовательного процесса. Установление и поддержка контакта с...,flexible,Гибкий график,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,110000.0,,RUR,True,110000.0,,RUR,True,MONTH,За месяц,,,TWICE_PER_MONTH,Два раза в месяц,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
3,123121203,False,Marketing Director (Директор по маркетингу),,False,False,,,,,2025-07-22T18:43:50+0300,2025-07-22T18:43:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123121203,,False,,https://api.hh.ru/vacancies/123121203?host=hh.ru,https://hh.ru/vacancy/123121203,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '37', 'name': 'Директор по маркетингу и PR (CMO)'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,инновационный научно-технологический центр МГУ Воробьёвы Горы,,55.69193418462398,37.51608403173793,,"Москва, инновационный научно-технологический центр МГУ Воробьёвы Горы",,,,,,,[],18138604,11941855,ИКС БИО ТЕХНОЛОДЖИ,https://api.hh.ru/employers/11941855,https://hh.ru/employer/11941855,https://img.hhcdn.ru/employer-logo-original/1413796.png,https://img.hhcdn.ru/employer-logo/7274844.png,https://img.hhcdn.ru/employer-logo/7274845.png,https://api.hh.ru/vacancies?employer_id=11941855,False,True,"Высшее образование: прикладные науки (математика, <highlighttext>физика</highlighttext>, химия), маркетинг, менеджмент. Опыт работы в маркетинге не менее 8 лет. Практический опыт применения...",Выстраивание маркетинга в компании. Разработка маркетинговой стратегии. Разработка методик привлечения лидов. Проведение рекламных кампаний. Бюджетирование. Оценка эффективности. Руководство командой отдела...,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
4,123121083,False,Sales Excellence Director (Директор по эффективности продаж),,False,False,,,,,2025-07-22T18:33:55+0300,2025-07-22T18:33:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123121083,,False,,https://api.hh.ru/vacancies/123121083?host=hh.ru,https://hh.ru/vacancy/123121083,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '53', 'name': 'Коммерческий директор (CCO)'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,инновационный научно-технологический центр МГУ Воробьёвы Горы,,55.69193418462398,37.51608403173793,,"Москва, инновационный научно-технологический центр МГУ Воробьёвы Горы",,,,,,,[],18138604,11941855,ИКС БИО ТЕХНОЛОДЖИ,https://api.hh.ru/employers/11941855,https://hh.ru/employer/11941855,https://img.hhcdn.ru/employer-logo-original/1413796.png,https://img.hhcdn.ru/employer-logo/7274844.png,https://img.hhcdn.ru/employer-logo/7274845.png,https://api.hh.ru/vacancies?employer_id=11941855,False,True,"Высшее образование: прикладные науки (математика, <highlighttext>физика</highlighttext>, химия), экономика, менеджмент. Подтверждённый track record успешных кейсов формирования процессов продаж в крупных технологических...",Разработка и внедрение методологии продаж. Анализ и оптимизация процессов. Создание инструментов для отделов продаж. Внедрение лучших практик и инноваций в...,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
5,122998842,False,Системный аналитик middle,,False,False,,,,,2025-07-18T17:24:03+0300,2025-07-18T17:24:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=122998842,,True,,https://api.hh.ru/vacancies/122998842?host=hh.ru,https://hh.ru/vacancy/122998842,[],,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '148', 'name': 'Системный аналитик'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,,,55.75586,37.6177,,Москва,Библиотека им.Ленина,Сокольническая,1.4,1,55.752123,37.610388,"[{'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, {'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}, {'station_name': 'Площадь Революции', 'line_name': 'Арбатско-Покровская', 'station_id': '3.100', 'line_id': '3', 'lat': 55.756741, 'lng': 37.62236}, {'station_name': 'Театральная', 'line_name': 'Замоскворецкая', 'station_id': '2.99', 'line_id': '2', 'lat': 55.758808, 'lng': 37.61768}]",18758163,4537481,Крокодил,https://api.hh.ru/employers/4537481,https://hh.ru/employer/4537481,https://img.hhcdn.ru/employer-logo-original/832971.jpg,https://img.hhcdn.ru/employer-logo/3772767.jpeg,https://img.hhcdn.ru/employer-logo/3772768.jpeg,https://api.hh.ru/vacancies?employer_id=4537481,False,True,"Общий опыт работы системным аналитиком от 2-х лет. Высшее образование (техническое, математическое, IT, <highlighttext>физика</highlighttext>, экономическое). Работа в банковской сфере...","Коммуникация с заказчиком. Подготовка юзер-стори, bpmn схем процессов, технических заданий. Сбор, анализ, формализация, документирование и согласование требований в предметной...",remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,160000.0,180000.0,RUR,False,160000.0,180000.0,RUR,False,MONTH,За месяц,,,MONTHLY,Раз в месяц,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
6,123075585,False,Aналитик данных/BI-аналитик,,False,False,,,,,2025-07-21T19:02:01+0300,2025-07-21T19:02:01+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123075585,,False,,https://api.hh.ru/vacancies/123075585?host=hh.ru,https://hh.ru/vacancy/123075585,[],,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,,,,,,,,,,,,,,,,681575,Data-Driven Lab,https://api.hh.ru/employers/681575,https://hh.ru/employer/681575,https://img.hhcdn.ru/employer-logo-original/1024261.png,https://img.hhcdn.ru/employer-logo/5717812.png,https://img.hhcdn.ru/employer-logo/5717813.png,https://api.hh.ru/vacancies?employer_id=681575,False,True,Имеет опыт работы с витринами данных и построением продуктовых метрик. Высшее математическое или <highlighttext>физико</highlighttext>-математическое образование. Наличие публичных Tableau-проектов...,"Создавать удобные, надёжные и быстрые дашборды в Tableau под реальные бизнес-задачи. Исследовать данные, находить закономерности, аномалии и взаимосвязи; погружаться...",remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
7,123137135,False,Project manager [Sport],,False,True,,,,,2025-07-23T10:49:34+0300,2025-07-23T10:49:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123137135,True,False,,https://api.hh.ru/vacancies/123137135?host=hh.ru,https://hh.ru/vacancy/123137135,[],,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,,,,,,,,,,,,,,,,6096037,Physical Transformation/Физикл,https://api.hh.ru/employers/6096037,https://hh.ru/employer/6096037,https://img.hhcdn.ru/employer-logo-original/1362790.png,https://img.hhcdn.ru/employer-logo/7071070.png,https://img.hhcdn.ru/employer-logo/7071071.png,https://api.hh.ru/vacancies?employer_id=6096037,False,True,"Опыт в роли Project-менеджера от 1,5 лет в продуктовой разработке. Умение управлять ресурсами, ставить приоритеты, быстро принимать решения. ","Планировать проекты: этапы, сроки, объём работ, риски. Вести проектную документацию и логировать изменения. Проводить регулярные встречи: дейли, синки, ретро, 1...",remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,CONSTRUCTOR,BASIC,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
8,123226932,False,Начальник строительного участка,,False,False,,,,,2025-07-25T09:42:26+0300,2025-07-25T09:42:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123226932,,False,,https://api.hh.ru/vacancies/123226932?host=hh.ru,https://hh.ru/vacancy/123226932,[],,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '108', 'name': 'Руководитель строительного проекта'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,,,,,,,,,,,,,,,,5179350,Су-90,https://api.hh.ru/employers/5179350,https://hh.ru/employer/5179350,https://img.hhcdn.ru/employer-logo-original/1139211.png,https://img.hhcdn.ru/employer-logo/6177429.png,https://img.hhcdn.ru/employer-logo/6177430.png,https://api.hh.ru/vacancies?employer_id=5179350,False,True,Высшее строительное образование. Желание развиваться и расти внутри компании. Опыт работы в монолитном многоэтажном домостроении от 6 лет. ,"Своевременно оформлять и подавать заказчику КС-2, КС-3, КС-6. -Своевременно списывать материалы. -Контролировать закрытие объемов в КС (<highlighttext>Физика</highlighttext>...",flexible,Гибкий график,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,250000.0,350000.0,RUR,False,250000.0,350000.0,RUR,False,MONTH,За месяц,,,TWICE_PER_MONTH,Два раза в месяц,,,,,,,,,Физик,,,,,,,,,,,,,,,,,,,,,,
9,123148677,False,Junior специалист по Data Science и машинному обучению (ML/AI),,False,False,,,,,2025-07-23T13:39:45+0300,2025-07-23T13:39:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=123148677,True,True,,https://api.hh.ru/vacancies/123148677?host=hh.ru,https://hh.ru/vacancy/123148677,[],,[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False,False,,False,,1,Москва,https://api.hh.ru/areas/1,open,Открытая,Москва,Беговая улица,3с1,55.776006,37.5531,,"Москва, Беговая улица, 3с1",Беговая,Таганско-Краснопресненская,7.18,7,55.773505,37.545518,"[{'station_name': 'Беговая', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.18', 'line_id': '7', 'lat': 55.773505, 'lng': 37.545518}]",266346,197135,ИК СИБИНТЕК,https://api.hh.ru/employers/197135,https://hh.ru/employer/197135,https://img.hhcdn.ru/employer-logo-original/1403777.png,https://img.hhcdn.ru/employer-logo/7234776.png,https://img.hhcdn.ru/employer-logo/7234777.png,https://api.hh.ru/vacancies?employer_id=197135,True,True,Высшее образование по специальности <highlighttext>физика</highlighttext>/математика/химия/геология/ инженерные направления ​​(также рассматриваем студентов 4-6 курса (бакалавриат/специалитет/магистратура). ,"Участие в разработке и реализации моделей машинного обучения под руководством менторов. Анализ данных, их предобработка и подготовка для обучения моделей. ",fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,,,,,,,,,,,,,,,,MAKEUP,,197135-197135-siso,"""Сибинтек-Софт""",,,,Физик,,,,,,,,,,,,,,,,,,,,,,
